"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 28 22:02:42 MSK 2024","Sat Sep 28 22:02:43 MSK 2024","478","tests","test_posts","","","","test_create_valid_post[correct string]",""
"passed","Sat Sep 28 22:02:44 MSK 2024","Sat Sep 28 22:02:44 MSK 2024","246","tests","test_posts","","","","test_create_valid_post[special symbols]",""
"passed","Sat Sep 28 22:02:43 MSK 2024","Sat Sep 28 22:02:44 MSK 2024","612","tests","test_posts","","","","test_create_valid_post[empty string]",""
"passed","Sat Sep 28 22:02:42 MSK 2024","Sat Sep 28 22:02:42 MSK 2024","111","tests","test_posts","","","","test_user_posts",""
